Sentence	Subjectivity	Positivity	Negativity
So  you can get more out of a workout in less time  and the benefits will last much longer than your typical workout 	1	2	1
Sounds too good to be true 	2	2	1
For Men's Health Magazine  I started trying new routines every month or so to see if I could accelerate gains  while also cutting down in the length and frequency of workouts 	3	1	1
As long as you keep your body guessing (read: try new stuff every so often) you will out gain the person who is plodding through the same old cardio and weight slog 	2	2	1
Out of the box I tried a Thai-boxing workout  not because I wanted to get my ass beat  but because I wanted to whup my ass into shape 	4	2	1
The mix of dynamic cardio  striking  and sparring was new and challenging and it worked 	1	2	1
As a guy who already had a solid base of muscle and fitness  I saw my body change from the new routine 	3	1	1
Stronger core  less fat 	1	1	1
Here is the story 	1	1	1
"The theory worked so well that we started shooting video of my often painful introductions to ""what's next """	2	2	1
The first clip was really outside the box for me 	3	1	1
I went a benefit and there was a dance recital  and I was ready for a good nap  when these big  ripped guys  who resembled NFL defensive backs in leotards came bounding on stage 	4	1	1
"Upper-body power comes from traditional weight work  but those springs and abs got some extra work: the Horton Technique  their daily 45-minute ""length is strength"" routine that emphasizes all the assistive muscles in the legs "	1	1	1
Think Jane Fonda's floor moves with super intensity 	1	1	1
The best proof: Sims has not suffered an injury in 15 years of performances 	1	2	1
At least  you will take solace in watching my struggle 	3	2	2
Surely you can better than this 	3	1	1
Joe Dowdell knows his fitness science  and has melded what we know about full body workouts and the benefits of disrupting the body's expectations for exertion (muscle confusion  increased metabolic stimulation  and a bunch of other science-y stuff) 	1	2	1
But what makes Joe different and cool is that he has adapted those principles to old-school  strong-man type activities 	3	2	1
It makes for a really different workout 	1	1	1
Pushing a weighted sled  snapping cruise line-sized ropes  throwing a medicine ball  carrying dead weight - it all sounds old-school  and it is 	1	1	1
There's a unique feeling of power when doing these ostensibly primitive movements  and yet the pace and form employed burns you in a way that is motivated by the latest in fitness expertise 	1	1	1
"The result is that Joe  with burst-style  shorter workouts  gets you to train at ""Peak Performance """	1	2	1
Watch me wither 	1	1	1
What should Chris try next?	1	1	1
Pilates?	1	1	1
Parkour?	1	1	1
We are looking to make him the Mike Rowe of workouts… what's the toughest stuff you can toss his way?	1	1	1
Let us know what you think!	1	1	1
Christie's offers Bond items on 50th anniversary	1	1	1
"LONDON (Reuters) - Christie's will offer 50 items of James Bond memorabilia over the coming week in a charity sale that culminates in a live auction next Friday  the 50th anniversary of the release of the first 007 movie ""Dr  No"" "	1	2	1
The auction  which will raise funds for a range of charities including UNICEF  is one of a series of events being held around the world to mark the anniversary of one of the world's longest-running and most successful film franchises 	3	3	1
Fifty lots will be up for sale  many of them coming from EON Productions  the company behind the movie series 	1	1	1
All lots will go on public display there from Saturday until October 4  Admittance is free 	1	2	1
I think what we wanted to do was to celebrate the 50th anniversary in a meaningful way and let people have the opportunity to buy some of the things in our archive that we could raise money for charity from  said Michael G  Wilson  who along with Barbara Broccoli is guardian of the Bond films 	1	2	1
"There's a lot of things     from 1 000 pounds ($1 600) on up  really  he told Reuters  ""There's plenty of things for a whole range of collectors """	2	1	1
"Among the highlights for him was a one-third scale model of an Aston Martin DB5 used in the filming of ""Skyfall""  the next Bond adventure which hits the screens in October "	1	1	1
The car was used in earlier Bonds and has become closely associated with the fictional double agent 	1	1	1
We used it in the film but we had to make a model of it  We made an extra model  one third scale     that was made for the film and I think that's a pretty unique thing to get 	2	1	1
"The model is expected to fetch 30-40 000 pounds  while another Aston Martin built in 2008 and used in the opening sequence of the last Bond movie ""Quantum of Solace"" has a price tag of 100-150 000 pounds "	2	1	1
There is also a special edition of Bollinger champagne on offer for 10-15 000 pounds 	1	1	1
Can you imagine  a champagne that comes out in an edition of 12 only? Wilson said 	2	1	1
He added that Bond producers had been working with a number of charities for some time  although their ties to UNICEF  the United Nations Children's Fund  were particularly close through the involvement of former Bond actor Roger Moore 	2	2	1
"Among the smaller items being sold are 10 tarot cards used by Jane Seymour playing the character Solitaire in ""Live and Let Die"" and a belt with a golden bullet buckle worn by Christopher Lee as Scaramanga in ""The Man With the Golden Gun"" "	1	1	1
Chuck Norris ambushed on Slovak bridge to freedom	2	2	2
BRATISLAVA (Reuters) - Slovak officials rejected the overwhelming results of a popular Internet campaign to name a new pedestrian and cycling bridge near the capital after U S  action film star Chuck Norris 	2	2	3
"Despite 12 599 votes for the Norris name in a two-month online poll  Bratislava regional assembly decided to call the bridge spanning the Morava river and Slovakia's border with Austria the ""Freedom Cycling-Bridge"" in memory of people killed attempting to escape communist eastern Europe "	3	2	2
"The assembly's choice earned only 457 votes in the online poll  where it was easily outshone by other proposed names  including ""Maria Theresa"" after an Austro-Hungarian empress and ""the Devinska cycling bridge"" in honour of a nearby village "	3	2	2
It truly is a place where people were running for freedom through barbed wire  it is a place where many have died  so this is a dignified way how to honour these people 	3	3	2
Slovakia  once part of the former Czechoslovakia  has a 107 km border with Austria and many people died trying to flee the communist regime before its collapse in 1989 	1	1	3
"Norris  a martial arts expert-turned film star  is known for playing tough guy characters in such classic movies as ""Lone Wolf McQuade""  ""Missing in Action"" and ""The Delta Force"" "	2	2	1
The actor's work has become a popular source of kitschy fun among Slovaks and a mainstay for local jokes about macho strength and invincibility 	2	3	1
Cloverfield director Matt Reeves signs overall deal With 20th Century Fox TV	1	1	1
Under the agreement  Reeves will write and create his own projects  as well as supervise drama projects from others 	1	1	1
Reeves also will direct projects that are deemed a high priority for 20th TV 	1	1	1
"Though Reeves has been better known for such big-screen efforts as ""Cloverfield"" and ""Let Me In"" in recent years  his TV credits are numerous  including co-creating the WB drama ""Felicity"" with J J  Abrams "	1	1	1
Colorado 'Frozen Dead Guy' festival to go on with or without corpse	1	2	2
"DENVER (Reuters) - The frozen corpse that has inspired a Colorado town's whimsical ""Frozen Dead Guy Days"" celebration may soon be put on ice somewhere else  but festival organizers said the body's removal will not have a chilling effect on the annual event "	2	2	2
We will continue on whether or not Bredo Morstoel is here  festival owner Amanda MacDonald said Wednesday of the man whose body has been packed in dry ice outside Nederland  Colorado  since 1993 	1	2	1
A financial dispute between Morstoel's grandson  Tryve Bauge  and the man hired to replenish the dry ice on a monthly basis  Bo Shaffer  has led to Bauge threatening to move his grandfather's body out of Colorado 	2	1	2
But Shaffer said he quit after Bauge refused to pay for the rising costs of fuel and ice  which has made the endeavour unprofitable 	1	1	2
It takes two of us to make the four-hour roundtrip  Shaffer told Reuters 	1	1	1
My quitting is the only way to get his (Bauge's) attention 	3	1	1
Bauge  who lives in Norway  did not immediately return an email message seeking comment about the dispute 	1	1	1
But he told the Boulder Daily Camera newspaper that he is exploring the possibility of moving his grandfather to the Cryonics Institute in Michigan 	1	1	1
Cryonics is the process of freezing and storing a corpse to prevent decomposition in anticipation of medical technology that could bring the dead back to life 	1	1	1
Liquid nitrogen  which is far colder than dry ice  is typically used for cryonic preservation 	1	1	1
Ultimately he had the corpse moved to Nederland  where Bauge lived at the time 	1	1	1
But they ultimately embraced the idea of an annual festival surrounding its most famous  albeit deceased  resident 	2	2	1
The late-winter celebration features activities such as coffin races  a hearse parade  a frozen salmon toss and snow beach volleyball 	1	1	1
There are even tours to the site of Morstoel's sarcophagus  although his remains are not open for viewing 	2	1	1
MacDonald said the festival attracts about 10 000 people over its three-day run  which is held in early March  and has taken on a life of its own  with or without its namesake dead guy 	2	2	1
The nonprofit Cryonics Institute in Clinton Township  Michigan  was founded by the late physicist Robert Ettinger  who was known as a pioneer in cryonics 	1	1	1
His son  David Ettinger  said by telephone that privacy concerns prevent him from discussing any potential patients 	1	1	1
However  he did say ideal candidates for suspension are people who have recently died 	1	1	1
Such was the case with his father  he said  who was prepared for the procedure in the days before his death in 2011 at the age of 92 	1	1	1
We've never had a patient presented to us under those circumstances  he said of a corpse that has been packed in dry ice for nearly two decades 	1	1	1
"The institute has about 100 suspended corpses  and charges a one-time $35 000 fee and $120 annually for ""human cryopreservation """	1	1	1
Column: Be wary of spies at the Ryder Cup	2	1	2
MEDINAH  Ill 	1	1	1
(AP) — There are  apparently  spies lurking on the golf course  which is why the Americans have been so careful in practice this week to avoid putting toward anything that looks as if it might be a possible hole location in the Ryder Cup 	3	1	2
It seems a bit silly  but for the people involved in this biennial golf match between a country and a continent  this is serious stuff 	3	2	3
Cutting the rough down could determine another match 	2	1	1
That could be the difference between Europe retaining the Ryder Cup  or the U S  winning the little trophy that no one ever cared much about before the Euros started taking it away 	2	2	2
And that might be the difference between a golf world dominated by people whose ancestors invented the game or those who helped perfect it 	2	2	2
Should I go on?	2	1	1
Never mind that the 12 Europeans are fairly sophisticated players who should be able to read a putt if it was in a canyon on Mars 	3	2	1
For the most part they've all shown they can play under pressure  even if Michael Jordan is following them in his golf cart with a menacing look on his face 	3	2	2
There's no logic to it  as evidenced by Tiger Woods being on only one winning team in his career 	2	1	2
Davis Love III might not have a book in him  even if the U S  captain manages to lead his charges to a win in this one 	2	2	1
Still  some questions remain to be answered before play finally begins Friday morning 	1	1	1
Among them are:	1	1	1
Woods is a mediocre 13-14-2 in the Ryder Cup  so his new cheerful attitude with his playing partners — the intimidator McIlroy in particular — can't hurt 	2	2	1
—Will Medinah Country Club with no rough favor the U S  as Love hopes?	2	1	1
Or should he also have ordered all the ponds drained just in case an errant shot by one of the Americans went toward the water?	2	1	1
Europeans  as we have found out in recent Ryder Cups  have special balls that are magnetically repelled from both rough and water during crucial matches 	3	2	2
—Will Europeans understand what a red-out is?	2	1	2
The PGA of America is taking a page from collegiate arenas by asking fans to wear red on Sunday to support the home team 	2	2	1
Might work  though comically enough the PGA also is asking fans at home to wear red  too 	3	2	1
—Does ping pong really strengthen the soul?	2	2	1
For some reason  U S  players like to play ping pong — and a lot of it 	2	2	1
They're convinced ping pong brings the team together  and to make sure they've got three tables in the team room this year instead of two 	4	3	1
—Will the U S  have another equipment malfunction?	2	1	2
It rained at the Ryder Cup in Wales two years ago on the opening day  and U S  players were soaked in their leaky rain gear 	1	1	2
They never seemed to recover  and Europe ended up regaining the cup 	1	2	2
—Will Jordan as an assistant coach advise the U S  to play zone or man-to-man against the Euros?	2	1	1
More importantly  will he step up to take out McIlroy with a well-placed screen if needed?	2	1	1
Imagine the possibilities on Sunday with tens of thousands of well lubricated fans cheering the home team on 	1	1	1
It's all been analyzed more than Jim Furyk's swing  picked apart more than Tiger's brain 	1	1	1
If recent Ryder Cup history is any example  though  it's not all that difficult to figure out 	1	1	1
Common heart drugs may be less helpful than thought	1	1	2
"Although the study is not conclusive  it ""is definitely going to make some waves "" said Dr  Lydia Bazzano of Tulane University in New Orleans  who studies heart disease prevention  but wasn't part of the new work "	2	2	2
I think there are probably plenty of people out there who are getting (beta-blockers)  but don't need them  Bazzano told Reuters Health 	2	1	2
Beta-blockers such as atenolol and metoprolol slow the heartbeat and lower blood pressure 	1	1	1
They are known to shield against future heart attacks in people who just had one and can be helpful in certain types of heart failure  Older studies have suggested staying on beta-blockers in the long run may be beneficial  so many doctors have their patients take the drugs indefinitely 	1	2	1
But those results predate modern treatment  researchers say  And whether or not beta-blockers can ward off heart attacks in the first place is still up in the air 	1	1	2
Because beta-blockers are now off patent  drug companies have little incentive to study their effects in expensive clinical trials - the gold-standard in medical science for demonstrating what a treatment does and does not do 	1	1	2
So Dr  Sripal Bangalore of the NYU Langone Medical Center in New York and colleagues did the next-best thing  They used data from a registry of nearly 45 000 people with established coronary artery disease or risk factors for heart disease to get a sense of the drugs' efficacy 	1	1	2
In coronary artery disease  or CAD  the blood vessels supplying the heart are partially clogged by cholesterol buildups  which can lead to heart attacks 	1	1	2
The researchers sliced the registry according to whether people had suffered a heart attack  had CAD but no past heart attack  or just had risk factors such as diabetes and high blood pressure 	1	1	2
Among people with risk factors alone  14 2 percent of those on beta-blockers had a bad outcome versus 12 percent of non-users 	1	1	1
There was no difference in outcomes overall among people with prior heart attacks who did or did not use beta-blockers  However  those who'd suffered a heart attack within the past year and took beta-blockers seemed to be slightly less likely to fare ill or land in the hospital due to their condition 	2	2	2
Beta-blockers are cheap - a month's supply of the generic versions can be bought for less than $10 - but often cause side effects  including fatigue  depression and nightmares 	1	1	2
"I think there has been a movement away from beta-blockers  said Bazzano  including as a blood pressure medication  ""A lot of people don't like to be on them """	2	1	2
Dr  Harlan Krumholz  a cardiologist who was not involved in the new study  said it is consistent with recent guidelines from the American Heart Association 	1	1	1
"The group says beta-blockers are most effective in the first three years after a heart attack and in patients with certain types of heart failure  In other cases  their use is ""optional "" according to 2011 guidelines "	1	1	2
"Krumholz  of Yale School of Medicine in New Haven  Connecticut  said he often leaves patients on beta-blocker therapy ""forever"" after a heart attack "	1	1	2
This is raising the question of whether or not we need to keep them on it  he said 	1	1	1
He cautioned that there may be specific reasons why doctors would still put patients with heart disease on beta-blockers  such as high blood pressure or chest pain 	2	1	2
"But in general  Krumholz concluded  ""The best thing is for every patient to be on as few medicines as possible  and only the ones that are the most helpful to them """	2	2	1
"Tintin's relationship with Congo dates back to 1930 when his creator Georges Remi - better-known by his pen name Herge - first wrote ""Tintin in the Congo""  in which the intrepid reporter and his little white dog Snowy tackle wild animals  hunters  diamond smugglers and warlike local chieftains "	2	1	2
Tintin statues - which can sell for anything from $15 to $1500 - are part of Congo's roaring trade in the comic's memorabilia  business that could receive a boost next month as delegates from 56 countries across the French-speaking world gather in Kinshasa for the Francophonie summit 	2	2	1
Tourists can find stalls and street vendors across the riverside capital selling the figures  and can even buy personalised paintings of the book's front cover  with their names expertly added by the artist 	1	1	1
But it is Herge's heavily stereotyped depiction of Africans as fat-lipped  childlike savages that makes Tintin a controversial cultural figure for a country trying to turn its back on a brutal colonial past followed by decades of dictatorship and conflict  according to professor Joseph Ibongo Gilungule  the director of Congo's national museum 	2	1	3
Tintin is an image created by westerners  and it proves the ignorance of these people  a lack of understanding for our values  Ibongo told Reuters 	3	1	2
Ibongo wants more people to celebrate the rich cultures of the country's estimated 250 ethnic groups 	3	2	1
Ibongo is not against preserving relics of Congo's colonial past - he is trying to find money to rehabilitate the statue of controversial British colonial explorer Henry Morton Stanley  which lies forlornly toppled behind a shed at the museum 	2	1	1
Nonetheless  with so many people due to visit the country for the Francophonie summit in October  he believes Congo should find a better poster boy than Tintin 	3	1	1
"There are other strong images which speak positively of this country  its peoples	3	2	1
137 congo-questions-tintins-cultural-status-ahead-francophonie-163818299 It would be more respectful to Congo and the whole of Africa if we spoke of images that value the Congo  and not Tintin  Ibongo added "	3	2	1
Earlier this year a Congolese man studying in Belgium tried and failed to have the book banned on the grounds of racism 	1	1	2
Even Tintin's creator Herge later re-wrote parts of the story  toning down the more extreme stereotypes which sprang from Belgium's colonisation of Congo  which was brutal even by the standards of the day 	2	1	2
Auguy Kakese  an artisan who specialises in Tintin statuettes  acknowledges that it was Europeans who first suggested he carve the figures and most of his clients remain westerners 	2	1	1
But he sees no harm in it 	2	1	1
Although most of the statues Kakese sells are of the comic's European characters  he does not shy away from depicting the Africans as well  despite them seeming uncomfortably stereotyped for modern tastes 	2	1	2
We were a Belgian colony  if we work with Tintin now it's to say that the Belgians are still our brothers  he added 	3	2	1
A recent showing in Kinshasa of the Steven Spielberg-directed Tintin movie attracted a small but varied audience  everyone from Congolese to Koreans 	2	1	1
Christiana Finotti  an Italian expatriate  said she had bought a Tintin picture for her friend but acknowledged that not all her Congolese colleagues were comfortable with the association 	2	1	2
(Reuters) - A Connecticut man responding to his sister's call for help during an apparent burglary at her home next door  shot and killed a masked intruder who turned out to be his own teenage son  state police said on Friday 	1	1	3
Tyler Giuliano  15  was wearing a ski mask and appeared to be armed when he was shot on Thursday by his father  who authorities declined to identify  said Lieutenant J  Paul Vance  a spokesman for the Connecticut State Police 	1	1	3
The father's sister  who lives next door  was home alone before 1 a m  when she called him to report someone trying to break into her home 	1	1	1
The father went over to investigate and was approached by a masked person dressed entirely in black and holding a shiny object  police said in a statement 	1	1	1
Believing the suspect was armed with a weapon and about to attack him  the (father) discharged his personal handgun at the suspect  police said in the statement 	1	1	2
Giuliano was pronounced dead at the scene 	1	1	3
(He) was lying on the ground in the driveway with obvious gunshot injuries  holding a weapon  the statement said 	2	1	2
Police also were investigating why the teen  who has no criminal history  was outside his aunt's home 	1	1	1
ConocoPhillips to exit Kazakh oil field: minister	2	1	1
ASTANA (Reuters) - U S  oil major ConocoPhillips is ready to exit the consortium developing Kazakhstan's Kashagan oil field  Kazakh officials said  giving the state first option on increasing ownership of the biggest oil find since the 1960s 	3	1	1
"Asked on Tuesday whether ConocoPhillips would sell its stake in the consortium  Kazakh Oil and Gas Minister Sauat Mynbayev told reporters: ""They have informed that they have the intention of selling """	3	2	1
ConocoPhillips would not confirm its plans for the Kashagan stake 	1	1	1
Unless formally announced by our company  ConocoPhillips does not comment on ongoing business development or commercial activities  spokesman Daren Beaudo said in an email 	3	1	1
The Houston-based company  however  has been conducting a disposal program to reduce its non-core overseas assets 	1	1	1
It has already exceeded its target of asset sales worth $20 billion by the end of 2012  including the sale of its stake in LUKOIL   Russia's second-biggest oil producer 	2	1	1
Proceeds from the disposals are to be used for debt reduction  dividend payments and exploration 	1	3	1
Kazakhstan  home to 3 percent of the world's recoverable oil reserves  has moved to exert greater management control and secure bigger revenues from foreign-owned oil and gas developments 	2	2	1
Previous reshuffles of North Caspian Operating Company (NCOC)  the consortium developing Kashagan  have seen state company KazMunaiGas muscle in  prompting Western partners to seek assurances that they will be able to develop the offshore field's more lucrative second phase 	2	2	1
KazMunaiGas first entered the Kashagan consortium as a shareholder in 2005 and later doubled its stake to 16 81 percent 	1	1	1
Identical stakes are held by Exxon Mobil   Royal Dutch Shell   Italy's Eni and French company Total  	1	1	1
Japan's Inpex <1605 T> owns 7 56 percent 	1	1	1
"The Kazakh state company would have first option on buying the 8 4 percent stake owned by ConocoPhillips  and Chief Executive Lyazzat Kiinov said it was ""displaying interest"" in buying the stake "	2	2	1
Daniyar Berlibayev  Kiinov's deputy at KazMunaiGas  also indicated that ConocoPhillips planned to sell its stake 	2	1	1
They will exit the project  but nobody has come to us with an offer  Berlibayev told Reuters 	3	1	1
"We  as the national company  wouldn't refuse the idea of increasing our share	3	2	1
139 conocophillips-exit-kazakh-oil-field-minister-143431817--finance How we might finance this is another question "	3	1	1
Exxon Mobil  the world's biggest non-state oil company  would be a possible buyer of the stake if KazMuaniGas decided not to pursue its interest in the ConocoPhillips stake 	2	1	1
Exxon Mobil senior vice-president Mark Albers declined to comment when asked about his company's plans for Kashagan 	1	1	1
Kazakhstan  the world's ninth-largest country by area but with a population of only 17 million  expects Kashagan to be one of three main drivers of its plans to raise oil output by 60 percent by the end of the decade 	2	2	1
Kashagan's first phase  which has been delayed by rising costs and technical complications  is likely to pump its first oil by the end of March 2013  the minister said 	3	2	2
A second phase  yet to be agreed with the government  could raise output to 1 million bpd 	2	1	1
With output set to begin  consortium members are lobbying for assurances that they will be able to recoup the tens of billions of dollars already invested before the expiry of their 40-year production-sharing agreement  signed in 1997 	2	2	2
"President Nursultan Nazarbayev  who has ruled Kazakhstan throughout its two decades of independence  has already talked to ENI Chief Executive Paolo Scaroni to discuss ""cooperation in the oil and gas sector""  including Kashagan  his website said "	3	2	1
Retailers are stocking the shelves in preparation for Halloween  and the first signs of spooky websites are following right behind them 	2	2	2
The science enthusiasts at Life Technologies have created an interactive thriller video called The Foundation that puts you in the director's chair 	1	1	1
The video links to a Facebook application  then lets users cast five Facebook friends to play the roles of missing scientists  who vanished under mysterious circumstances 	2	2	2
We don't want to give any spoilers away  but there is a fun plot twist at the end too 	2	2	2
According to Life Technologies' leader for video and interactive  Andrew Green  the campaign is part of the growing trend for dynamic  personalized viral video content 	3	3	1
Here's what it looks like when I casted a few of my colleagues in the trailer 	1	1	1
Your name  along with the five chosen Facebook friends  will appear in the opening credits 	1	1	1
Click here to view this gallery 	1	1	1
Crickets causing a stink in Central Texas city	1	1	2
WACO  Texas (AP) — Several businesses in the Central Texas town of Waco (WAY'-koh) are dealing with a smelly problem that won't go away: decaying cricket carcasses 	1	1	3
A bank  a drugstore and other businesses have been inundated with the odorous onslaught of dead crickets that have been trapped inside walls and have collected on sidewalks 	1	1	3
that scented products have been unable to get rid of the smell 	1	1	2
Using air-scrubbing machines hasn't worked either 	1	1	2
Fred Huffman  an entomologist who runs a local pest control business  says the cricket problem has been worse this year because mild winter conditions resulted in the insects appearing earlier than normal 	1	1	2
Health officials say the crickets don't pose any direct health risks 	1	2	1
Crime at the US-Mexico border goes corporate	2	1	3
BROWNSVILLE  Texas (AP) — When a regional manager for the Mexican Gulf cartel moved his operation to a more lucrative territory on the border  he took along not only his armored trucks and personal army  but also his department heads and a team of accountants 	2	1	4
It's easy to lose sight of the fact that  ultimately  these criminal organizations are complex businesses  relying on careful accounting as much as assault rifles 	2	1	4
Crossfit takes a tough  no-frills approach to exercise	3	2	2
NEW YORK (Reuters) - Forget the leisurely workout 	4	1	2
Crossfit training is a high-intensity  no-frills strength and conditioning program to get fit 	3	2	2
Used by fire departments  the military  college sports teams and in gyms  Crossfitters tackle an array of physical challenges and follow daily workouts posted on a website 	1	1	2
"I really do like them in terms of the strength and the challenge  said Liz Neporent  the author of ""Fitness for Dummies  said about the exercises """	1	2	1
"Why not maximize your time?	1	2	1 
143 crossfit-takes-tough-no-frills-approach-exercise-142756865 If you're going to do it  do it	1	2	1
143 crossfit-takes-tough-no-frills-approach-exercise-142756865 Don't fool around "	1	1	1
Crossfit training is the invention of Greg Glassman  a gymnastics coach who opened the first Crossfit facility in Santa Cruz  California in 1995 	1	1	1
Crossfit is more of a movement than an organization  Neporent said 	1	2	1
There's a website but it's basically individuals  gyms  and groups doing it 	1	2	1
"Today I'm doing 100 squats  100 push-ups  100 crunches  said Neporent  ""which is about half a WOD """	1	2	1
A lot of people  she said  would not be able to walk afterwards 	1	2	1
"That's what you have to understand about Crossfit	1	1	1
143 crossfit-takes-tough-no-frills-approach-exercise-142756865 For some people it's aspirational "	1	1	2
For Kirch  one exercise  called the burpee  illustrates the love-hate relationship Crossfitters have to their WOD 	1	2	2
He said from a standing position you squat down  put your hands on the floor  kick your feet behind you 	1	1	1
Then you lower yourself to the floor  push up  jump to your feet  stand up and jump in the air 	1	1	1
It's a move everyone dreads  he said 	1	2	1
"But no matter what someone's fitness level  if they do just a few they'll quickly build up to more	1	2	1 
143 crossfit-takes-tough-no-frills-approach-exercise-142756865 It's immediate satisfaction "	1	2	1
The rest of the time is spent on stretching  warming up and on technique 	1	1	1
We don't have machines  Kirch said 	1	1	1
We don't have treadmills or cardio equipment or strength training machines 	1	1	1
Most things are based around body weight and barbells  he explained 	1	1	1
If someone says they've been doing Crossfit at another gym  we'll do a test to make sure they know the movements  he said 	1	2	1
American Council on Exercise spokesperson Jessica Matthews said her maiden Crossfit session left her with a major sweat and a pretty strong feeling of empowerment 	1	2	2
I like the style  said Matthews  an exercise physiologist 	1	2	1
Matthews's session also included a two-lap warm-up run around the block and a few rounds on a rowing machine 	1	1	1
"Trickier for her is what she calls the ""scalability portion"" of the Crossfit philosophy: the notion that it works for everyone from the elite athlete to the overweight grandmother "	1	2	2
You go for time  she said of the WODs 	1	2	1
We know that when we manipulate intensity by adding variables like speed  people not as seasoned may sacrifice initial base form 	1	2	2
She was nonetheless delighted that instead of the tough talk so characteristic of Crossfit websites  which usually promise that butts will be kicked and specialists punished  camaraderie and encouragement ruled the WOD 	1	3	2
The environment was intense but not intimidating  she said 	1	2	1
"They (her 10 session mates) looked like average people doing the workouts	1	1	1
143 crossfit-takes-tough-no-frills-approach-exercise-142756865 We're all in the box "	1	1	1
Crucial vote nears in Boeing contract talks	2	1	1
"Hundreds of engineers and technicians marched at the company's two plants  its downtown Seattle office and other facilities with signs saying ""Boeing: Hands Off My Healthcare"" and ""We Delivered "	1	1	1
"Will Boeing?"""	1	1	1
It was the most visible sign of rising tension over contracts covering 23 000 members of the Society of Professional Engineering Employees in Aerospace 	2	1	1
Stan Sorscher  a Speea labor representative and former engineer  estimated the chance of a strike at 35 percent 	2	1	1
Scott Hamilton  managing director at consulting firm Leeham Co   said Boeing likely will make a second contract offer and that will restart negotiations 	2	1	1
We believe we can get to an agreement  said Doug Alder  a Boeing spokesman 	3	2	1
Nobody here is talking about a strike 	2	1	1
Still officials and analysts say it is worrying that Boeing's first offer is going to a vote amid worker rallies 	1	1	1
Boeing has a backlog of 4 057 orders  and is racing to speed up its factories to make more jets  especially 787 Dreamliners  whose customers have been waiting through years of delays 	1	1	2
Boeing also is deciding on specifications for a new derivative of its popular 777 	2	2	1
And it needs engineers to help repair a number of 787s that rolled off the line with flaws and must be fixed before they can be delivered 	1	1	2
While in limbo  the jets weigh on Boeing's financial performance  analysts said 	1	1	1
A strike by Speea would cripple Boeing  said Ray Goforth  Speea's executive director 	3	1	2
They cannot deliver airplanes without our members who are involved in certifying jets before they go to customers 	2	1	1
For the union  a strike could reduce its relevance and its ranks  which already are under pressure from retirement of senior workers and outsourcing 	2	1	2
Boeing has moved large amounts of engineering work to its suppliers and aims to move more despite the technical problems and cost overruns that resulted from using foreign engineers for the 787 	1	1	2
Various engineering groups did not coordinate well  and key pieces  such as wings  did not work well and needed to be re-engineered 	1	1	2
Boeing attributes those problems at least in part to flawed execution of the distributed engineering model  not the model itself  and says it will continue to tap engineers from anywhere  even if not from Speea's mostly Puget Sound workforce 	1	1	2
Boeing has more rules  regulations and guidelines than any company I've ever seen  he said 	4	1	1
If the employees start strictly complying with all of them  you'd see productions problems immediately and the employees would still be collecting paychecks 	3	1	2
Boeing's stock price  which closed at $69 60 on Friday  up 12 percent in the last year  likely would fall  and plane deliveries would be delayed 	2	1	3
I hope they resolve it  Tim Clark  president of Emirates airline  Boeing's biggest 777 customer with 75 unfilled orders  said of the labor trouble while in Seattle on Thursday 	2	2	1
I hope our orders and those of others help give them a way through 	2	2	1
The two sides face another issue: Age 	1	1	1
"These experienced problem-solvers are referred to as the ""bow wave "" because once they depart  Boeing has relatively few experienced engineers behind them to take over "	2	2	2
Boeing actively recruits engineers at all levels 	1	2	1
Our goal is to always retain the best talent and to hire the best talent  Alder said 	2	3	1
Yet engineers with experience working on several different jet programs will be harder to find once older workers retire 	2	1	1
"Engineering skill is ""fast dwindling"" across the aerospace and defense industries  says Tom Captain  an analyst at Deloitte "	3	1	1
"If you go to the website of any aerospace company  you'll see tons of openings for engineers	3	1	1
144 crucial-vote-nears-boeing-contract-talks-161723525--finance We can't fill the jobs that we need to fill right now "	2	1	1
Among the lower-paid technicians  56 percent are 50 or older 	1	1	1
The recession kept older engineers working - a few are in their 70s and 80s 	1	1	1
Now  as the economy improves  older workers will retire  Captain predicts 	3	2	1
The people who are most valuable and able to mentor and teach the younger ones are retiring because of age  he says 	2	2	1
The union says the average annual engineer income is $110 000 	1	1	1
That should fall in coming years  since the average salary of new and re-hired engineers is $81 000  according to Speea's calculations using records from Boeing 	2	1	1
Local officials say they are puzzled at how the situation has unfolded 	3	1	1
Some compare the current tension to 2008  when they say Boeing's Chicago leaders thought the offer to the machinists union would be accepted by members 	2	1	1
I think Chicago is making the same mistake with Speea  said Hamilton  at Leeham  referring to the company's Midwestern headquarters 	3	1	2
He thinks members will strongly reject the contract 	3	1	1
Boeing's contract offers raises of 3 5 percent every year for engineers for four years 	1	1	1
We would ask them to pay more and the company would also be paying more  Alder said 	2	2	2
"Our goal is to maintain the current plan	2	1	1
144 crucial-vote-nears-boeing-contract-talks-161723525--finance Any increase in medical costs would be offset by the increase in salary "	2	2	2
The union says the contract also would allow Boeing to eliminate medical benefits for retired employees  a charge Boeing denies 	2	2	2
Boeing has no plans to eliminate retiree medical benefits for current retirees  the company said 	2	2	1
Alder said that questions about wording would have been discussed had the sides stayed at the bargaining table 	3	1	1
The union says it is now dealing mostly with negotiators from Chicago  rather than local officials that they know 	2	1	1
Boeing says the negotiating team is unchanged and the company is eager to resume talks  right after Monday's vote  to agree on a new contract 	2	2	1
Cuban-born jazz manager buried in Miami  he was 95	1	1	1
